类别,名称,经度,纬度,地址,类型,省,市,区县
银行,山东张店农村商业银行(怡海世家支行),118.026715,36.831666,科苑街道世纪路170号,金融保险服务;银行;农村商业银行,山东省,淄博市,张店区
银行,山东张店农村商业银行(怡海世家支行),118.026715,36.831666,科苑街道世纪路170号,金融保险服务;银行;农村商业银行,山东省,淄博市,张店区
银行,中国工商银行24小时自助银行(淄博高新柳泉路支行),118.052536,36.819411,柳泉路57号甲4号,金融保险服务;自动提款机;中国工商银行ATM,山东省,淄博市,张店区
银行,齐商银行(人民路支行),118.044842,36.813905,人民西路23号,金融保险服务;银行;银行,山东省,淄博市,张店区
银行,张店农商银行(马尚支行),117.992865,36.799286,和平路169号甲4号,金融保险服务;银行;农村商业银行,山东省,淄博市,张店区
银行,上海浦东发展银行股份有限公司淄博鲁中家具城小微支行,118.042385,36.803451,南西四路路东家具城1层西南角,金融保险服务;银行;上海浦东发展银行,山东省,淄博市,张店区
银行,中国建设银行(联通路分理处)(装修中),118.044856,36.828423,联通路62-8号,金融保险服务;银行;中国建设银行,山东省,淄博市,张店区
银行,中国农业银行(黄金国际支行),118.029687,36.828806,黄金国际北2门旁,金融保险服务;银行;中国农业银行,山东省,淄博市,张店区
银行,齐商银行金晶大道支行,118.058750,36.799661,车站街道金晶大道105号齐商银行信息科技部,金融保险服务;银行;银行,山东省,淄博市,张店区
银行,张店农商银行(南定支行),118.042332,36.738178,南定镇张南路127号,金融保险服务;银行;农村商业银行,山东省,淄博市,张店区
银行,中国建设银行(淄博城中支行),118.030458,36.822104,华光路116号彩世界精品皮草广场F1层,金融保险服务;银行;中国建设银行,山东省,淄博市,张店区
银行,中国农业银行24小时自助银行(淄博建筑陶瓷城支行),118.019280,36.785435,昌国路105号,金融保险服务;自动提款机;中国农业银行ATM,山东省,淄博市,张店区
银行,齐商银行(共青团东路支行),118.063229,36.802749,凯旋门东门旁,金融保险服务;银行;银行,山东省,淄博市,张店区
银行,中国农业银行(淄博山铝分理处),118.045932,36.752906,山铝花园路29号铝城购物中心东邻,金融保险服务;银行;中国农业银行,山东省,淄博市,张店区
银行,张店农商银行(付家支行),117.998470,36.762456,华福大道与重庆路交叉口东北40米,金融保险服务;银行;农村商业银行,山东省,淄博市,张店区
银行,中国银行24小时自助银行(淄博分行),118.051513,36.815631,柳泉路49号,金融保险服务;自动提款机;中国银行ATM,山东省,淄博市,张店区
银行,张店区农村商业银行(颐丰苑支行),118.000704,36.841470,颐丰花园颐臻园南门东170米,金融保险服务;银行;农村商业银行,山东省,淄博市,张店区
银行,中国民生银行(淄博齐盛湖社区支行),118.000731,36.836582,北重庆路369号方正凤凰国际东区14号楼2号,金融保险服务;银行;中国民生银行,山东省,淄博市,张店区
银行,中国建设银行(世纪路支行),118.024404,36.813927,人民西路77号花好园1楼,金融保险服务;银行;中国建设银行,山东省,淄博市,张店区
银行,兴业银行(世纪花园社区支行),118.018246,36.833111,世纪路115号世纪花园中心公园2号1楼,金融保险服务;银行;兴业银行,山东省,淄博市,张店区
银行,中国农业银行24小时自助银行(淄博高新技术产业开发区支行营业部),118.061068,36.848117,鲁泰大道99号汇金大厦西裙楼1层,金融保险服务;自动提款机;中国农业银行ATM,山东省,淄博市,张店区
银行,中国农业银行(华侨城支行),118.036189,36.837850,中润大道与西五路交叉口西北角九宏大厦一层东首,金融保险服务;银行;中国农业银行,山东省,淄博市,张店区
银行,中国邮政储蓄银行(柳泉路支行),118.048134,36.802208,柳泉路与新村西路交叉口西北角时代超市1FA4铺,金融保险服务;银行;中国邮政储蓄银行,山东省,淄博市,张店区
银行,张店农村商业银行(城北支行),118.048689,36.837336,中润大道99号,金融保险服务;银行;农村商业银行,山东省,淄博市,张店区
银行,齐商银行(义乌商城支行),118.021214,36.823050,华光路268号义乌小商品城广场街28-29号,金融保险服务;银行;银行,山东省,淄博市,张店区
银行,中国工商银行(高新紫荆苑支行),118.054462,36.832694,紫荆路2号甲7号,金融保险服务;银行;中国工商银行,山东省,淄博市,张店区
银行,山东张店农村商业银行(莲池支行),118.035635,36.829086,联通路80号,金融保险服务;银行;农村商业银行,山东省,淄博市,张店区
银行,交通银行(华侨城支行),118.035572,36.837721,高新区中润大道39甲1一层,金融保险服务;银行;交通银行,山东省,淄博市,张店区
银行,中国邮政储蓄银行(共青团西路营业所),118.060110,36.804837,共青团西路1号,金融保险服务;银行;中国邮政储蓄银行,山东省,淄博市,张店区
