类别,名称,经度,纬度,地址,类型,省,市,区县
商超,红旗仪表(商场东路店),118.082759,36.79858,商场东路(古玩市场D一112),购物服务;购物相关场所;购物相关场所,山东省,淄博市,张店区
商超,海尔冰箱专卖店(商场东街店),118.082017,36.798602,商场路与东四路往西200米路北海尔专卖店,购物服务;家电电子卖场;家电电子卖场,山东省,淄博市,张店区
商超,东盛水暖(商场东街店),118.068532,36.799993,商场东街18-8号,购物服务;家居建材市场;建材五金市场,山东省,淄博市,张店区
商超,富源茶庄(商场西街店),118.038847,36.805024,商场西街62号甲57号,购物服务;专卖店;专营店,山东省,淄博市,张店区
商超,鹏源五金工具商行(天乐园商场店),118.057161,36.792686,兴学街21号甲4号天乐园商场F1层,购物服务;家居建材市场;建材五金市场,山东省,淄博市,张店区
商超,新豪轩门窗(红星美凯龙昌国商场店),118.033775,36.783175,车站街道办事处昌国西路23号红星美凯龙二楼B8056,购物服务;家居建材市场;建材五金市场,山东省,淄博市,张店区
商超,东方弘叶家具(红星美凯龙昌国商场),118.034375,36.782975,红星美凯龙淄博昌国商场,购物服务;家居建材市场;家具城,山东省,淄博市,张店区
商超,陶渤建材(红星美凯龙昌国商场),118.033392,36.783624,昌国路23号红星美凯龙1层,购物服务;家居建材市场;厨卫市场|购物服务;家居建材市场;建材五金市场,山东省,淄博市,张店区
商超,诗荟花礼(商场东路南一巷店),118.061902,36.800463,商场东街与东一路交叉口西120米,购物服务;购物相关场所;购物相关场所,山东省,淄博市,张店区
商超,美瞳公主(秀水服饰商场店),118.055802,36.802171,秀水西区4街415号,购物服务;购物相关场所;购物相关场所,山东省,淄博市,张店区
商超,888服饰(商场西街店),118.047616,36.803791,柳泉路37号金宝岛大厦F1层,购物服务;服装鞋帽皮具店;服装鞋帽皮具店,山东省,淄博市,张店区
商超,中国名酒货仓(商场东街店),118.082157,36.798607,商场东路与宝沣路交叉口西220米,购物服务;专卖店;烟酒专卖店,山东省,淄博市,张店区
