类别,名称,经度,纬度,地址,类型,省,市,区县
医院,恒兴花园社区卫生服务站,118.017824,36.820004,恒兴花园东门旁,医疗保健服务;综合医院;卫生院,山东省,淄博市,张店区
医院,湖田医院,118.117309,36.790442,湖光路7号,医疗保健服务;综合医院;卫生院,山东省,淄博市,张店区
医院,张店区体育场街道兴乔社区卫生服务站,118.076705,36.808956,体育场街道人民东路33甲24号东城华府1号楼,医疗保健服务;综合医院;卫生院,山东省,淄博市,张店区
医院,车站街道工盛社区卫生服务站,118.052959,36.787561,工盛社区锦园小区9号楼北侧,医疗保健服务;综合医院;卫生院,山东省,淄博市,张店区
医院,小西湖社区卫生服务站门诊部,118.030819,36.808564,共青团西路122号甲3号张店区公园街道小西湖社区卫生服务站,医疗保健服务;综合医院;卫生院,山东省,淄博市,张店区
医院,张辛社区卫生所,118.057390,36.808764,金晶大道西四巷与西二路交叉口东140米,医疗保健服务;诊所;诊所,山东省,淄博市,张店区
医院,淄博市张店区南定镇白家村卫生室,118.057868,36.777145,安康佳园南区东2门东北50米,医疗保健服务;诊所;诊所,山东省,淄博市,张店区
医院,张店区马尚镇紫园社区卫生服务站,118.013950,36.798024,紫馨园北1门旁,医疗保健服务;综合医院;卫生院,山东省,淄博市,张店区
医院,张店区和平街道桃园社区卫生服务站,118.043055,36.796257,和平路9号甲1号,医疗保健服务;综合医院;卫生院,山东省,淄博市,张店区
医院,淄博广电医院(急救站),118.048024,36.815648,柳泉路西二巷10号,医疗保健服务;综合医院;综合医院,山东省,淄博市,张店区
医院,张店区马尚镇尚文苑社区卫生服务站,118.003204,36.804574,新村路尚文苑,医疗保健服务;综合医院;卫生院,山东省,淄博市,张店区
医院,淄博市龙砂中医研究院,118.014552,36.821961,华光路159号甲12号,医疗保健服务;诊所;诊所,山东省,淄博市,张店区
医院,龙凤苑社区卫生服务站,118.008381,36.832252,联通路,医疗保健服务;综合医院;卫生院,山东省,淄博市,张店区
医院,张店盛康医院,118.044141,36.826444,明清街北首,医疗保健服务;综合医院;综合医院,山东省,淄博市,张店区
医院,太平社区卫生服务站(淄博市国土资源局张店分局南),118.044005,36.799622,西四路和平街道,医疗保健服务;综合医院;卫生院,山东省,淄博市,张店区
医院,马尚街道西寨社区卫生室,118.011488,36.800726,名仕城-南区西门旁,医疗保健服务;诊所;诊所,山东省,淄博市,张店区
医院,淄博震中中医院,118.032777,36.755912,山泉路133号,医疗保健服务;综合医院;综合医院,山东省,淄博市,张店区
医院,淄博经开区南定镇马庄村卫生室,118.045816,36.773697,南定镇马庄村,医疗保健服务;诊所;诊所,山东省,淄博市,张店区
医院,淄博市中西医结合医院新王舍卫生所,118.036268,36.789587,新王舍铁路小区南门20米,医疗保健服务;诊所;诊所,山东省,淄博市,张店区
医院,淄博高新区四宝山街道华侨城南社区卫生服务站,118.030823,36.836324,中润华侨城,医疗保健服务;综合医院;卫生院,山东省,淄博市,张店区
医院,中德亚运村社区卫生服务站,118.062684,36.855087,柳泉路四宝山街道,医疗保健服务;综合医院;卫生院,山东省,淄博市,张店区
医院,张店区房镇镇橡树湾社区卫生服务站,118.000970,36.837615,丰泰路凤凰国际15-8,医疗保健服务;诊所;诊所,山东省,淄博市,张店区
医院,祥瑞花园社区卫生服务站,118.008778,36.824836,马尚镇,医疗保健服务;综合医院;卫生院,山东省,淄博市,张店区
医院,张店区公园街道社区卫生服务中心,118.056015,36.811647,西二路265号,医疗保健服务;综合医院;卫生院,山东省,淄博市,张店区
医院,潘苑社区卫生服务站,118.061647,36.818785,淄博市妇幼保健院华光路院区西北侧,医疗保健服务;综合医院;卫生院,山东省,淄博市,张店区
医院,杜科村卫生所,118.073058,36.804682,东三路6号甲5号,医疗保健服务;诊所;诊所,山东省,淄博市,张店区
医院,湖田街道福兴社区卫生服务站,118.078077,36.788465,洪沟社区东南门东北90米,医疗保健服务;综合医院;卫生院,山东省,淄博市,张店区
医院,张二村卫生室,118.095516,36.770176,昌国路沣水一小北200米,医疗保健服务;诊所;诊所,山东省,淄博市,张店区
医院,淄博经济开发区盛世康城社区卫生服务站,118.022050,36.780628,复兴路盛世康城,医疗保健服务;综合医院;卫生院,山东省,淄博市,张店区
医院,淄博心康医院,118.056193,36.853944,兰雁大道27号,医疗保健服务;医疗保健服务场所;医疗保健服务场所,山东省,淄博市,张店区
医院,马尚镇西南村卫生室,117.994427,36.799658,创业学府花园南门东70米,医疗保健服务;诊所;诊所,山东省,淄博市,张店区
医院,张店区中医院体育场社区,118.075946,36.814713,东三路与潘南路交叉口北260米,医疗保健服务;综合医院;综合医院,山东省,淄博市,张店区
医院,远景花园社区卫生服务站,118.014394,36.840682,南京路与丰安路交叉口东140米,医疗保健服务;综合医院;卫生院,山东省,淄博市,张店区
医院,西寨社区第二卫生室,118.015262,36.797987,和平路与西寨街交叉口东100米,医疗保健服务;诊所;诊所,山东省,淄博市,张店区
医院,张店区公园街道商园社区卫生服务站,118.058148,36.803294,城中西内环路与美食街交叉口东北180米,医疗保健服务;综合医院;卫生院,山东省,淄博市,张店区
医院,张店区中医院住院处,118.049775,36.801025,淄博市张店区中医院,医疗保健服务;综合医院;综合医院,山东省,淄博市,张店区
医院,齐鲁医药学院教学医院,118.049804,36.820264,华光路79号银领国际,医疗保健服务;综合医院;综合医院,山东省,淄博市,张店区
医院,经开区南定朝阳社区卫生服务站,118.050456,36.770420,朝阳路1号院附近,医疗保健服务;诊所;诊所,山东省,淄博市,张店区
医院,四季青医院西院区,117.972697,36.835747,房镇镇房东新村齐盛路天津路路口西北角,医疗保健服务;综合医院;综合医院,山东省,淄博市,张店区
医院,张店区湖田街道新苑社区卫生服务站,118.070125,36.778975,昌国路163号,医疗保健服务;医疗保健服务场所;医疗保健服务场所,山东省,淄博市,张店区
医院,淄博轴承厂卫生所,118.060303,36.769222,朝阳路11号,医疗保健服务;诊所;诊所,山东省,淄博市,张店区
