类别,名称,经度,纬度,地址,类型,省,市,区县
学校,淄博艺仁艺术培训学校,118.037486,36.824927,科苑街道北西五路38甲2丽景苑小区2号综合楼5楼,科教文化服务;培训机构;培训机构,山东省,淄博市,张店区
学校,山东新华制药股份有限公司职工培训中心技工学校,118.063076,36.794698,车站街道东一路14号,科教文化服务;学校;职业技术学校,山东省,淄博市,张店区
学校,淄博市张店外语实验学校,118.058180,36.807831,金晶大道西四巷,科教文化服务;学校;学校,山东省,淄博市,张店区
学校,淄博市齐文幼儿园,118.034282,36.809019,共青团西路北六巷1号,科教文化服务;学校;幼儿园,山东省,淄博市,张店区
学校,凯瑞教育格学校区,118.076278,36.873177,怡海云锦东南门西80米,科教文化服务;培训机构;培训机构,山东省,淄博市,张店区
学校,淄博瑞丁教育培训学校,117.998422,36.833795,齐盛路与丰泰路交叉口西180米,科教文化服务;科教文化场所;科教文化场所,山东省,淄博市,张店区
学校,葛兰姆艺术学校,118.018110,36.797844,辉盛鑫苑1号楼3楼,科教文化服务;培训机构;培训机构,山东省,淄博市,张店区
学校,淄博市张店区第一幼儿园,118.009340,36.825156,马尚街道华光路祥瑞街16号(祥瑞园小学西邻),科教文化服务;学校;幼儿园,山东省,淄博市,张店区
学校,淄博中德莱茵智能科技学校,118.112956,36.831772,中润大道277号,科教文化服务;培训机构;培训机构,山东省,淄博市,张店区
学校,富康嘉苑幼儿园,118.004120,36.778128,富康嘉苑11号,科教文化服务;学校;幼儿园,山东省,淄博市,张店区
学校,齐悦花园幼儿园,117.983294,36.808536,马尚镇齐悦国际花园二期南门,科教文化服务;科教文化场所;科教文化场所,山东省,淄博市,张店区
学校,张店区政府第三幼儿园,118.038327,36.747317,南定镇新村路1号,科教文化服务;学校;幼儿园,山东省,淄博市,张店区
学校,淄博金石幼儿园,118.006228,36.818984,石村南巷2号,科教文化服务;学校;幼儿园,山东省,淄博市,张店区
学校,中传汇才艺术学校,118.059799,36.803757,金晶大道165号原素生活书店二楼,科教文化服务;培训机构;培训机构,山东省,淄博市,张店区
学校,天一非凡艺术学校,118.031186,36.799995,西六路与新村路口南100米路西天一非凡艺术学院3层,科教文化服务;培训机构;培训机构,山东省,淄博市,张店区
学校,淄博恺艺艺术培训学校有限公司,118.056412,36.854209,四宝山街道兰雁大道与鼎宏路交叉口往北100米路西,科教文化服务;培训机构;培训机构,山东省,淄博市,张店区
学校,傅山幼儿园,118.143409,36.881276,四宝山街道办事处傅山村北首,科教文化服务;学校;幼儿园,山东省,淄博市,张店区
学校,紫馨园幼儿园,118.014513,36.796251,和平路与西八路交叉路口往东100米紫馨园小区内,科教文化服务;学校;幼儿园,山东省,淄博市,张店区
学校,淄博市张店区汇智幼儿园(区实验幼儿园分园),118.037796,36.785672,锦绣花园附近,科教文化服务;学校;幼儿园,山东省,淄博市,张店区
学校,沣水镇中心幼儿园,118.091999,36.763413,沣水镇城东村,科教文化服务;学校;幼儿园,山东省,淄博市,张店区
学校,建桥幼儿园,118.031654,36.817001,西六路五里桥生活区,科教文化服务;学校;幼儿园,山东省,淄博市,张店区
学校,淄博外语学校幼儿园,118.035035,36.788793,王舍路117号,科教文化服务;学校;幼儿园,山东省,淄博市,张店区
学校,凤凰社区学校,118.128825,36.832575,万章路146号,科教文化服务;培训机构;培训机构,山东省,淄博市,张店区
学校,沣水育萌幼儿园,118.100038,36.769661,沣水镇张一村,科教文化服务;学校;幼儿园,山东省,淄博市,张店区
学校,淄博市张店区龙凤幼儿园,118.007784,36.832642,龙凤苑56号,科教文化服务;学校;幼儿园,山东省,淄博市,张店区
学校,新华同力芳草地幼儿园,118.047556,36.835692,景园路7号甲5号,科教文化服务;学校;幼儿园,山东省,淄博市,张店区
学校,房镇镇中心幼儿园,117.971852,36.835751,天津路与齐盛路交叉口四季青西院区西邻,科教文化服务;学校;幼儿园,山东省,淄博市,张店区
学校,张店区东方实验幼儿园,118.055850,36.800967,城中西内环路与西一路交叉口西80米,科教文化服务;学校;幼儿园,山东省,淄博市,张店区
学校,淄博市张店区海岱幼儿园,117.991664,36.770877,傅家镇北京路与海岱大道东南侧福瑞家园小区内,科教文化服务;学校;幼儿园,山东省,淄博市,张店区
学校,育才嘉亿国际幼儿园,118.024521,36.779070,傅家镇复兴路与世纪路交汇处,科教文化服务;学校;幼儿园,山东省,淄博市,张店区
学校,淄博市张店区卓然幼儿园,117.986179,36.847302,北京路77号,科教文化服务;学校;幼儿园,山东省,淄博市,张店区
学校,芊茉艺术培训学校,118.058598,36.837933,柳泉路286号晨报大厦F2层,科教文化服务;培训机构;培训机构,山东省,淄博市,张店区
学校,卓越教育集团北京金色摇篮颐臻花园幼儿园,118.003977,36.841330,丰安路与重庆路交叉口西120米,科教文化服务;学校;幼儿园|科教文化服务;培训机构;培训机构,山东省,淄博市,张店区
学校,淄博市张店区弘毅幼儿园,118.070131,36.794582,金鼎华郡小区东南角,科教文化服务;学校;幼儿园,山东省,淄博市,张店区
学校,淄博贝贝星幼儿园,118.021655,36.811752,人民西路与世纪路路口凯瑞安园小区,科教文化服务;学校;幼儿园,山东省,淄博市,张店区
学校,北京博苑君临天下幼儿园,118.003805,36.788594,王舍路与南京路交叉路口君临天下南门,科教文化服务;学校;幼儿园,山东省,淄博市,张店区
学校,淄博姜氏艺术培训学校有限公司,118.043075,36.839125,淄博高新区张桓路77号天行健大厦,科教文化服务;培训机构;培训机构,山东省,淄博市,张店区
学校,淄博市张店区尚勤幼儿园,117.978571,36.828356,汇英路28号,科教文化服务;学校;幼儿园,山东省,淄博市,张店区
学校,淄博市张店区教师进修学校,118.042643,36.795877,和平路9号甲1号,科教文化服务;学校;成人教育,山东省,淄博市,张店区
学校,淄博清雅轩美术培训学校,118.069436,36.864705,圣博·活力城北3门旁,科教文化服务;科教文化场所;科教文化场所,山东省,淄博市,张店区
学校,淄博田甄舞蹈培训学校,118.019562,36.838049,中润大道与远景路交叉口金科集美郡七幢2楼209.210,科教文化服务;培训机构;培训机构,山东省,淄博市,张店区
学校,淄博市张店区九级塔幼儿园,118.020468,36.818612,九级南路22号(九级村委会西侧),科教文化服务;学校;幼儿园,山东省,淄博市,张店区
学校,雀之灵艺术学校(高新校区),118.066704,36.855867,北营路14号,科教文化服务;培训机构;培训机构,山东省,淄博市,张店区
学校,淄博修文外国语学校安全保卫室,117.977028,36.837646,淄博市张店区中润大道与香港路交叉口南100米,科教文化服务;科教文化场所;科教文化场所,山东省,淄博市,张店区
学校,淄博高新区朱家庄幼儿园,118.045638,36.894029,四宝山街道,科教文化服务;学校;幼儿园,山东省,淄博市,张店区
学校,黄金国际幼儿园,118.031548,36.824253,北西六路,科教文化服务;学校;幼儿园,山东省,淄博市,张店区
学校,南营幼儿园,118.067253,36.844850,南营路石府路南营小区2号楼东户,科教文化服务;学校;幼儿园,山东省,淄博市,张店区
学校,淄博市凯瑞幼儿园,118.018185,36.811949,祥和路36号,科教文化服务;学校;幼儿园,山东省,淄博市,张店区
学校,新华同力乔里街幼儿园,118.075675,36.821192,[],科教文化服务;学校;幼儿园,山东省,淄博市,张店区
学校,高新区尚园幼儿园,118.062740,36.833260,魏家路47号,科教文化服务;学校;幼儿园,山东省,淄博市,张店区
学校,乐言无限艺术培训学校,118.060857,36.832612,魏家庄宜家超市三楼,科教文化服务;培训机构;培训机构,山东省,淄博市,张店区
学校,淄博高新区阳光幼儿园,118.040939,36.854620,兰雁大道9号,科教文化服务;学校;幼儿园,山东省,淄博市,张店区
学校,淄博启梦书画培训学校,118.069956,36.851119,张店区高新区兰雁大道路北中德小区79号楼13号14沿街房,科教文化服务;培训机构;培训机构,山东省,淄博市,张店区
学校,谷雨艺术学校,118.045901,36.772008,山泉路马庄小区曙光幼儿园南,科教文化服务;科教文化场所;科教文化场所,山东省,淄博市,张店区
学校,高新区华侨城幼儿园,118.034554,36.842948,中润·华侨城内,科教文化服务;学校;幼儿园,山东省,淄博市,张店区
学校,淄博市张店区美达幼儿园,118.017376,36.826147,义乌路商城街美达华庭小区内15甲,科教文化服务;学校;幼儿园,山东省,淄博市,张店区
学校,淄博柳泉艺术学校-张店区金乔小学,118.076140,36.813715,东三路36号淄博柳泉艺术学校,科教文化服务;学校;小学,山东省,淄博市,张店区
学校,淄博市张店区铝城第二幼儿园,118.048468,36.750167,南宿舍三街1号,科教文化服务;学校;幼儿园,山东省,淄博市,张店区
学校,世纪艺术培训学校,118.037581,36.844812,天府名城西北门旁,科教文化服务;培训机构;培训机构,山东省,淄博市,张店区
学校,七度现代音乐培训学校,118.032792,36.829220,联通路84号,科教文化服务;培训机构;培训机构,山东省,淄博市,张店区
学校,淄博市张店区建业幼儿园,118.027000,36.787513,王舍路247号建业城市花园,科教文化服务;学校;幼儿园,山东省,淄博市,张店区
学校,淄博市张店区南定镇后南定幼儿园,118.038153,36.741705,南定车站街,科教文化服务;学校;幼儿园,山东省,淄博市,张店区
学校,名士华府幼儿园,118.045718,36.851020,名士路与张桓路交叉口东180米,科教文化服务;学校;幼儿园,山东省,淄博市,张店区
学校,卓越金色摇篮紫园幼儿园,118.015913,36.801141,新村西路181号,科教文化服务;学校;幼儿园,山东省,淄博市,张店区
学校,淄博市张店区乾元府幼儿园,117.985422,36.801686,心环南路汇美花月苑西北侧约250米,科教文化服务;学校;幼儿园,山东省,淄博市,张店区
学校,山东药品食品职业学院淄博校区,118.030617,36.806068,公园街道商场西街74号,科教文化服务;学校;职业技术学校,山东省,淄博市,张店区
学校,创新教育培训学校,118.121100,36.791678,湖田街道湖明路创新教育培训学校(校区),科教文化服务;培训机构;培训机构,山东省,淄博市,张店区
学校,张店区金贝儿幼儿园,118.112518,36.792343,阳光路中段,科教文化服务;学校;幼儿园,山东省,淄博市,张店区
学校,世纪花园幼儿园(南园),118.019921,36.832236,世纪花园,科教文化服务;学校;幼儿园,山东省,淄博市,张店区
学校,星途艺术培训学校,118.077086,36.822095,体育场街道联通路东方星城塾香园东门沿街商铺二楼205号,科教文化服务;培训机构;培训机构,山东省,淄博市,张店区
学校,瑞丰苑幼儿园,118.042344,36.833394,中润大道,科教文化服务;学校;幼儿园,山东省,淄博市,张店区
学校,阳光鑫城幼儿园,118.050048,36.854283,一诺·阳光鑫城南门东150米,科教文化服务;学校;幼儿园,山东省,淄博市,张店区
学校,金宅幼儿园,118.059946,36.825498,迎春街31号,科教文化服务;学校;幼儿园,山东省,淄博市,张店区
学校,淄博世纪英才外语学校幼儿园,118.062662,36.840538,开发区南营路东三巷18号,科教文化服务;学校;幼儿园,山东省,淄博市,张店区
学校,云上之舞艺术培训学校,117.981882,36.820833,明博新城北门西侧商铺106号,科教文化服务;培训机构;培训机构,山东省,淄博市,张店区
学校,福源幼儿园,118.021826,36.775328,傅家镇盛世康城1期南门,科教文化服务;学校;幼儿园,山东省,淄博市,张店区
学校,淄博市张店区公园街道中心幼儿园,118.028900,36.811656,共青团西路名悦豪庭北门,科教文化服务;学校;幼儿园,山东省,淄博市,张店区
学校,淄博天骄子艺术培训学校第二校区,118.018027,36.801990,鑫城公寓东区西门旁,科教文化服务;培训机构;培训机构,山东省,淄博市,张店区
学校,高新区汇景苑幼儿园,118.036689,36.863427,北西六路汇景苑小区内,科教文化服务;学校;幼儿园,山东省,淄博市,张店区
学校,北京博苑世纪嘉苑幼儿园,118.025369,36.768081,傅家镇小徐世纪嘉苑北门向南50米路西,科教文化服务;学校;幼儿园,山东省,淄博市,张店区
学校,明德幼儿园,117.981253,36.821667,马尚镇上海路华光路交叉口东200米环西路,科教文化服务;学校;幼儿园,山东省,淄博市,张店区
学校,淄博市齐丰幼儿园,118.009473,36.835702,龙凤北巷,科教文化服务;学校;幼儿园,山东省,淄博市,张店区
学校,伊书伊画艺术培训学校,118.060804,36.833765,高新区实验小学北100米路西,科教文化服务;培训机构;培训机构,山东省,淄博市,张店区
学校,淄博市高新区热电幼儿园,118.095581,36.794592,309国道,科教文化服务;学校;幼儿园,山东省,淄博市,张店区
学校,潘庄幼儿园,118.059706,36.822548,潘庄文化广场(潘庄生活区东),科教文化服务;学校;幼儿园,山东省,淄博市,张店区
学校,淄博灿星艺术培训学校,118.006798,36.816009,人民西路与石村南巷交叉口西北侧水晶街H座3楼,科教文化服务;培训机构;培训机构,山东省,淄博市,张店区
