类别,名称,经度,纬度,地址,类型,省,市,区县
公交站,莲池公园(公交站),118.034616,36.821483,121路/K121路;126路/K126路;135路/K135路;136路/K136路;138路东线;138路西线;158路/K158路;169路/K169路;185路;2路/K2路;88路/K88路内环;88路/K88路外环;92路/K92路,交通设施服务;公交车站;公交车站相关,山东省,淄博市,张店区
公交站,淄博火车站(南广场)(公交站),118.056019,36.786483,103路/K103路;108路/K108路;119路;125路/K125路;126路/K126路;12路/K12路;139路/K139路;159路/K159路;162路;171路;1路北线;206路;20路;251路/K251路;266路/K266路;2路/K2路;36路;36路(半点发车);37路/K37路;3路;45路/K45路;46路/K46路;4路;51路西线;53路/K53路;5路;76路/K76路;80路/K80路;82路;87路大站快线;96路/K96路;沂源长途汽车站-公交东站定制公交通勤专线,交通设施服务;公交车站;公交车站相关,山东省,淄博市,张店区
公交站,煤气大厦(公交站),118.068207,36.811642,71路;71路(6点30分);8路/K8路,交通设施服务;公交车站;公交车站相关,山东省,淄博市,张店区
公交站,华光路张桓路口(公交站),118.046665,36.820884,136路/K136路;138路西线;158路/K158路;2路/K2路;90路/K90路北线;90路/K90路南线,交通设施服务;公交车站;公交车站相关,山东省,淄博市,张店区
公交站,张南路王舍路口(公交站),118.050506,36.788183,103路/K103路;108路/K108路;119路;125路/K125路;126路/K126路;127路/K127路;12路/K12路;139路/K139路;159路/K159路;162路;172路大站快线;1路北线;1路直达(利群);206路;20路;251路/K251路;266路/K266路;2路/K2路;36路;36路(半点发车);37路/K37路;3路;45路/K45路;46路/K46路;4路;51路(东线);51路西线;53路/K53路;58路/K58路;5路;71路;71路(6点30分);76路/K76路;80路/K80路;82路;89路/K89路;95路/K95路;96路/K96路,交通设施服务;公交车站;公交车站相关,山东省,淄博市,张店区
公交站,宠物市场(公交站),118.070190,36.817604,206路;266路/K266路;89路/K89路,交通设施服务;公交车站;公交车站相关,山东省,淄博市,张店区
公交站,鲁中家具城(公交站),118.043338,36.804668,138路东线;138路西线;222路/K222路,交通设施服务;公交车站;公交车站相关,山东省,淄博市,张店区
公交站,淄博火车站北广场(公交站),118.059130,36.788930,150路/K150路;7路/K7路;92路/K92路,交通设施服务;公交车站;公交车站相关,山东省,淄博市,张店区
公交站,共青团路西五路口(公交站),118.037974,36.807921,(停运)公交专线;137路/K137路;139路/K139路;157路/K157路;160路/K160路;7路/K7路;88路/K88路内环;88路/K88路外环;夜160路,交通设施服务;公交车站;公交车站相关,山东省,淄博市,张店区
公交站,理工大学东校区南门(公交站),118.042953,36.807728,(停运)公交专线;137路/K137路;139路/K139路;157路/K157路;160路/K160路;7路/K7路;88路/K88路外环,交通设施服务;公交车站;公交车站相关,山东省,淄博市,张店区
